body,task,disturbance,seed,controller,success,workflow_completed,stage_pass_rate,final_relation_error,final_object_error,final_object_speed,deadline_steps,steps_used,recoveries,localized_failure,exception_type,contract_hash,min_joint_limit_margin,final_min_jacobian_singular_value,energy,reflex_steps,predictive_checks,predictive_rejections,predictive_accepts,push_stage_reached,push_stage_sensed_stable,observer_checks,observer_rejections,observer_accepts,push_steps,push_torque_saturation_fraction,push_contact_fraction,push_contact_losses,push_progress,push_mean_tangent_force,push_min_jacobian_singular_value,push_min_joint_limit_margin
arm5_reference,push_to_zone,nominal,23001,v1,True,True,1.0,0.023510798112035512,0.023510798112035512,0.0002320315451834621,720,720,0,False,,2ebd5a46a509772b,0.6296500558574829,0.2146398565276534,18.496734161421923,0,0,0,0,True,True,29,4,25,157,0.0,0.6178343949044586,25,0.1811931259728383,0.8221112021316356,0.21595923783032064,0.40981782360312247
arm5_reference,push_to_zone,nominal,23002,v1,True,True,1.0,0.011407341455353031,0.011407341455353031,0.0002802783799492706,720,720,0,False,,2ebd5a46a509772b,0.5992777710566171,0.21310629659306501,19.779519825350107,0,0,0,0,True,True,30,4,26,176,0.0,0.6477272727272727,29,0.1946885824459656,1.002254034598434,0.2140206633537548,0.37090825777735903
arm5_reference,push_to_zone,nominal,23003,v1,True,True,1.0,0.033501983184894106,0.033501983184894106,3.40883238391862e-11,720,720,0,False,,2ebd5a46a509772b,0.6303083642625604,0.21921901117771905,22.310901434251257,0,0,0,0,True,True,31,4,27,135,0.0,0.5777777777777777,20,0.1552329271515795,0.9314232672256962,0.22009358937178775,0.3776127385682546
arm5_reference,push_to_zone,nominal,23004,v1,True,True,1.0,0.030498723778608794,0.030498723778608794,1.1742399326510956e-11,720,720,0,False,,2ebd5a46a509772b,0.6775193361217071,0.22210711615947537,21.241682635056844,0,0,0,0,True,True,28,4,24,140,0.0,0.6285714285714286,20,0.1593218807189907,0.9463060132313746,0.2242263432959151,0.41731641749334436
arm5_reference,push_to_zone,nominal,23005,v1,True,True,1.0,0.018324404813910698,0.018324404813910698,0.00028285213550269164,720,720,0,False,,2ebd5a46a509772b,0.6886181536326217,0.22240345666162298,20.245465744790906,0,0,0,0,True,True,36,6,30,161,0.0,0.6894409937888198,26,0.18912088616770054,1.0904990106584944,0.2252088036251543,0.47152080535401675
arm5_reference,push_to_zone,nominal,23006,v1,True,True,1.0,0.01051484214090279,0.01051484214090279,0.0002563641947872818,720,720,0,False,,2ebd5a46a509772b,0.6285350668654415,0.21684488112754405,19.199549275607986,0,0,0,0,True,True,43,6,37,154,0.0,0.7467532467532467,24,0.18123756522897425,0.9710868077886297,0.21736541275079432,0.40204823174049187
arm5_reference,push_to_zone,nominal,23007,v1,True,True,1.0,0.007115287668525541,0.007115287668525541,0.0001985439228468587,720,720,0,False,,2ebd5a46a509772b,0.7270312539735047,0.22538516731396524,20.80605207627161,0,0,0,0,True,True,32,4,28,137,0.0,0.6058394160583942,21,0.18589012384776982,0.8767181626866151,0.22642837285335787,0.49614698454685113
arm5_reference,push_to_zone,nominal,23008,v1,True,True,1.0,0.015725016611776877,0.015725016611776877,2.4684514526999814e-09,720,720,0,False,,2ebd5a46a509772b,0.7400482040050642,0.2336353525106025,21.52273909909235,0,0,0,0,True,True,24,3,21,133,0.0,0.48872180451127817,20,0.17648361181587954,0.8256186068603933,0.2346810874147771,0.49235919815259077
arm5_reference,push_to_zone,nominal,23009,v1,True,True,1.0,0.017803093961861423,0.017803093961861423,0.00016266958290927507,720,720,0,False,,2ebd5a46a509772b,0.6702465055616416,0.225169286916996,19.05770150008203,0,0,0,0,True,True,26,4,22,130,0.0,0.6307692307692307,23,0.1689826317077504,0.8526628576829378,0.22657261002379953,0.444201432141726
arm5_reference,push_to_zone,nominal,23010,v1,True,True,1.0,0.010372255987370904,0.010372255987370904,0.00022153483058667107,720,720,0,False,,2ebd5a46a509772b,0.7128896960589053,0.22338844453795126,18.655739698637085,0,0,0,0,True,True,33,5,28,143,0.0,0.6713286713286714,18,0.18359059462354907,0.9080799205762232,0.22457669171727518,0.4957635283584936
arm5_reference,push_to_zone,nominal,23011,v1,True,True,1.0,0.01116251486624797,0.01116251486624797,0.00020098673428240084,720,720,0,False,,2ebd5a46a509772b,0.839167311534323,0.24673556234349883,21.269121065148052,0,0,0,0,True,True,36,6,30,146,0.0,0.6643835616438356,26,0.1996298925658468,0.8606491571801613,0.24754282678603615,0.6042811440514435
arm5_reference,push_to_zone,nominal,23012,v1,True,True,1.0,0.008530147264207347,0.008530147264207347,0.0002392899652074696,720,720,0,False,,2ebd5a46a509772b,0.699212036745176,0.22343883887331173,18.528963113589892,0,0,0,0,True,True,30,5,25,162,0.0,0.7098765432098766,25,0.19813544665064894,0.868732464198458,0.22426278389481916,0.48513002523481186
