body,task,disturbance,seed,controller,success,workflow_completed,stage_pass_rate,final_relation_error,final_object_error,final_object_speed,deadline_steps,steps_used,recoveries,localized_failure,exception_type,contract_hash,min_joint_limit_margin,final_min_jacobian_singular_value,energy,reflex_steps,predictive_checks,predictive_rejections,predictive_accepts,push_stage_reached,push_stage_sensed_stable,observer_checks,observer_rejections,observer_accepts,push_steps,push_torque_saturation_fraction,push_contact_fraction,push_contact_losses,push_progress,push_mean_tangent_force,push_min_jacobian_singular_value,push_min_joint_limit_margin,capacity_limit_active_steps,capacity_limit_binding_steps,contact_approach_steps,contact_hold_steps,contact_loss_events,contact_completed_stages,contact_timeout_before_first_touch,contact_timeout_after_touch,capacity_approach_binding_steps,capacity_hold_binding_steps,contact_hold_control_steps,contact_normal_force_p25,contact_normal_force_p50,contact_dwell_steps_p50,contact_hold_entries,contact_hold_exits,contact_reference_hold_steps,local_proprioceptive_control_steps,transition_proposals,transition_confirmations,transition_expirations,condition,innovation_threshold,first_failed_stage,false_terminal_accept,joint_boundary_violation,estimate_accepts,estimate_rejects,estimate_reasons
arm5_reference,push_to_zone,severe,35001,capability_compiled,False,False,0.0,0.22884659024445048,0.22884659024445048,4.483320859604891e-06,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7930597770645558,0.28341984400701686,137.5357124223108,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35002,capability_compiled,False,False,0.0,0.23113098236915794,0.23113098236915794,2.689047024413105e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.8444602604896905,0.286676250298653,141.85475044676068,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35003,capability_compiled,False,False,0.0,0.2030916431705768,0.2030916431705768,0.12941693775499305,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.811792060720192,0.28496688815425997,135.38731471658937,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35004,capability_compiled,False,False,0.0,0.20705595768656132,0.20705595768656132,0.14221503921002482,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.8381980558202047,0.28281706203151724,137.34134488474896,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35005,capability_compiled,False,False,0.0,0.24675799397874842,0.24675799397874842,0.11684531892582771,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7735908562531355,0.2839994541975036,137.5196919927118,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35006,capability_compiled,False,False,0.0,0.27773415210017627,0.27773415210017627,3.782945142306233e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.889334106147051,0.28748624557892155,142.94343871442797,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35007,capability_compiled,False,False,0.0,0.23196701269544773,0.23196701269544773,3.536062135663751e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7660068487992002,0.2836366832430992,135.22809515059325,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_reference,push_to_zone,severe,35008,capability_compiled,False,False,0.0,0.19352038588683823,0.19352038588683823,1.3271227872264519e-07,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.754240295418303,0.28139078186888994,133.68575521220822,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_distal_heavy,push_to_zone,severe,35001,capability_compiled,False,False,0.3333333333333333,0.23183800062490514,0.23183800062490514,0.011284890353990206,720,243,0,True,stage_timeout,2ebd5a46a509772b,0.7914620731898752,0.2885294626078268,60.171124526810914,0,0,0,0,False,False,60,31,29,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,56,69,24,0,0,1,0,0,0,0.49886237505291914,0.995341223453497,2.0,0,0,0,0,0,0,0,threshold_0.05,0.05,contact,False,False,65,178,"{""high_innovation"": 178}"
arm5_distal_heavy,push_to_zone,severe,35002,capability_compiled,False,False,0.0,0.23867666799091786,0.23867666799091786,4.0167497729675614e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.8352480275584173,0.2806362875064106,78.79050341592439,0,0,0,0,False,False,1,1,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,2,133,"{""high_innovation"": 133}"
